Title,Authors,Session,Abstract,PDF,Paper Page
Deep Hashing for Global Registration of Preoperative CT and Video Images for Laparoscopic Liver Surgery,Hanyuan Zhang;Brian Davidson;Matthew Clarkson;Sandun Bulathsinhala;João Ramalhinho,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
"Parametric-MAA: Fast, Object-Centric Avoidance of Metal Artifacts for Intraoperative CBCT Imaging",Maximilian Rohleder;Andreas Maier;Björn Kreher,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Automatic trajectory planning for stereotactic radiofrequency ablation in non-discrete search space,Adela Lukes;Wolfgang Freysinger;Reto Bale,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Semantic hyperspectral image synthesis for cross-modality knowledge transfer in surgical data science,Viet Tran Ba;Marco Huebner;Ahmad Bin Qasim;Maike Rees;Jan Sellner;Silvia Seidlitz;Berkin Özdemir;Alexander Studier-Fischer;Felix Nickel;Leonardo Ayala;Lena Maier-Hein,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Evaluation of Synthetic Training Data for 3D Intraoral Reconstruction of Cleft Patients from Single Images,Lasse Lingens;Yoriko Lill;Prasad Nalabothu;Benito Benitez;Andreas Mueller;Markus Gross;Barbara Solenthaler,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
When do they StOP?: A First Step Towards Automatically Identifying Team Communication in the Operating Room,Keqi Chen;Lilien Schewski;Vinkle Srivastav;Joël Lavanchy;Didier Mutter;Guido Beldi;Sandra Keller;Nicolas Padoy,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Early Operative Difficulty Assessment in Laparoscopic Cholecystectomy via Snapshot-Centric Video Analysis,Saurav Sharma;Maria Vannucci;Leonardo Legori;Mario Scaglia;Giovanni Laracca;Didier Mutter;Sergio Alfieri;Pietro Mascagni;Nicolas Padoy,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Shortcut Learning Leads to Sex Bias in Deep Learning Models for Photoacoustic Tomography,Marcel Knopp;Christoph Bender;Niklas Holzwarth;Julius Kempf;Milenko Caranovic;Yi Li;Ferdinand Knieling;Werner Lang;Alexander Seitel;Ulrich Rother;Lena Maier-Hein;Kris Dreher,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Adaptive Sensitivity-Fisher Regularization for Heterogeneous Transfer Learning of Vascular Segmentation in Laparoscopic Videos,Xinkai Zhao;Yuichiro Hayashi;Masahiro Oda;Takayuki Kitasaka;Kazunari Misawa;Kensaku Mori,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Dual-Task Meta-Auxiliary Learning In Laparoscopic Cholecystectomy,Rui Guo;Conor Perreault;Benjamin Mueller;Xi Liu;Anthony Jarc,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
